,IDs,Canonical_Smiles,component1,component2,SMILES,QED,Synth,Fsp3,mpIC50_value,std,norma,normal_desviation,HBA,LogP,TPSA,MW,HBD,RB,size_point_HBA,size_point_LogP,size_point_TPSA,size_point_MW,size_point_HBD,size_point_RB,mpIC50,PC1 contribution,PC2 contribution
373,ID374,COc1cc(CCC(=O)O)ccc1OCC1C=C(c2ccccc2)CCO1,0.21225133538246155,-0.06019410118460655,COc1cc(CCC(=O)O)ccc1OCC1C=C(c2ccccc2)CCO1,0.764,2.907,0.318,0.11690664142431005,,,10.0,4,3.963700000000003,64.99000000000001,368.42900000000014,1,8,9.187858681527455,13.738483394053707,8.449888355692192,11.240336000219576,11.865581297297972,11.865581297297972,0.11690664142431005,0.00042399328,5.267586e-05
374,ID375,COc1cc(CCC(=O)O)ccc1OCC1CC(c2ccccc2)CCO1,0.4635965824127197,0.12176871299743652,COc1cc(CCC(=O)O)ccc1OCC1CC(c2ccccc2)CCO1,0.759,2.864,0.409,0.11975822410451964,,,10.0,4,4.054000000000004,64.99000000000001,370.44500000000016,1,8,9.187858681527455,13.84879277226368,8.449888355692192,11.410435526129406,11.865581297297972,11.865581297297972,0.11975822410451964,0.002022733,0.00021556349
375,ID376,COc1cc(CCC(=O)O)ccc1OCC1NC(c2ccccc2)CCO1,0.27806466817855835,-0.33731362223625183,COc1cc(CCC(=O)O)ccc1OCC1NC(c2ccccc2)CCO1,0.742,3.176,0.381,0.12959609472097292,,,10.0,5,3.1685000000000016,77.02000000000001,371.43300000000016,2,8,11.037666839454555,12.72062520468421,10.109649220638584,11.492925571055771,15.317766166719343,11.865581297297972,0.12959609472097292,0.0007276956,0.0016541372
376,ID377,COc1cc(CCC(=O)O)ccc1OCC1NC(c2ccccc2)CCCO1,0.28069350123405457,-0.2749243676662445,COc1cc(CCC(=O)O)ccc1OCC1NC(c2ccccc2)CCCO1,0.724,3.133,0.409,0.1402614338028531,,,10.0,5,3.558600000000003,77.02000000000001,385.4600000000002,2,8,11.037666839454555,13.230744993521101,10.109649220638584,12.606724499833444,15.317766166719343,11.865581297297972,0.1402614338028531,0.0007415199,0.0010988293
377,ID378,COc1cc(CCC(=O)O)ccc1OCC1CN(c2ccccc2)CCO1,0.17262233793735504,-0.133457750082016,COc1cc(CCC(=O)O)ccc1OCC1CN(c2ccccc2)CCO1,0.769,2.508,0.381,0.11407366019856895,,,10.0,5,2.9966000000000017,68.23,371.43300000000016,1,8,11.037666839454555,12.488765860956253,8.91996780205675,11.492925571055771,11.865581297297972,11.865581297297972,0.11407366019856895,0.00028044786,0.00025893535
378,ID379,COc1cc(CCC(=O)O)ccc1OCC1CC(c2ccccc2)NCO1,0.1294473260641098,-0.4262867867946625,COc1cc(CCC(=O)O)ccc1OCC1CC(c2ccccc2)NCO1,0.742,3.152,0.381,0.12959609472097292,,,10.0,5,3.1685000000000016,77.02000000000001,371.4330000000001,2,8,11.037666839454555,12.72062520468421,10.109649220638584,11.492925571055764,15.317766166719343,11.865581297297972,0.12959609472097292,0.00015770458,0.0026418462
379,ID380,COc1cc(CCC(=O)O)ccc1OCC1CCC(c2ccccc2)NCO1,0.1113421618938446,-0.29246506094932556,COc1cc(CCC(=O)O)ccc1OCC1CCC(c2ccccc2)NCO1,0.724,3.123,0.409,0.1402614338028531,,,10.0,5,3.558600000000002,77.02000000000001,385.4600000000001,2,8,11.037666839454555,13.2307449935211,10.109649220638584,12.606724499833437,15.317766166719343,11.865581297297972,0.1402614338028531,0.00011667489,0.001243517
380,ID381,COc1cc(CCC(=O)O)ccc1OCC1CC(c2ccccc2)OCO1,0.07078161090612411,-0.09655046463012695,COc1cc(CCC(=O)O)ccc1OCC1CC(c2ccccc2)OCO1,0.763,2.984,0.381,0.11747546204511952,,,10.0,5,3.595500000000002,74.22000000000001,372.41700000000014,1,8,11.037666839454555,13.277893820886835,9.743328396176812,11.57452187198243,11.865581297297972,11.865581297297972,0.11747546204511952,4.7151876e-05,0.00013552285
381,ID382,COc1cc(CCC(=O)O)ccc1OCC1CCC(c2ccccc2)OCO1,0.06890310347080231,-0.059541694819927216,COc1cc(CCC(=O)O)ccc1OCC1CCC(c2ccccc2)OCO1,0.74,2.998,0.409,0.13076828026902382,,,10.0,5,3.9856000000000034,74.22000000000001,386.44400000000013,1,8,11.037666839454555,13.765329454192548,9.743328396176812,12.6811105261074,11.865581297297972,11.865581297297972,0.13076828026902382,4.4682314e-05,5.154021e-05
382,ID383,COc1cc(CCC(=O)O)ccc1OCC1CCC(c2ccccc2)SCO1,0.41023898124694824,0.4222683906555176,COc1cc(CCC(=O)O)ccc1OCC1CCC(c2ccccc2)SCO1,0.69,3.276,0.409,0.16115090926274472,,,10.0,5,4.702200000000004,64.99000000000001,402.5120000000001,1,8,11.037666839454555,14.612192016353742,8.449888355692192,13.834748930394406,11.865581297297972,11.865581297297972,0.16115090926274472,0.0015839154,0.002592274
383,ID384,COc1cc(CCC(=O)O)ccc1OCC1CCCC(c2ccccc2)S1,0.4192824959754944,0.3779500722885132,COc1cc(CCC(=O)O)ccc1OCC1CCCC(c2ccccc2)S1,0.682,3.141,0.409,0.16621562534352105,,,10.0,4,5.118200000000005,55.760000000000005,386.5130000000001,1,8,9.187858681527455,15.077717956298136,7.0,12.686309359590592,11.865581297297972,11.865581297297972,0.16621562534352105,0.0016545183,0.0020766947
384,ID385,COc1cc(CCC(=O)O)ccc1OCC1OCCCC(c2ccccc2)S1,0.401984840631485,0.16305920481681824,COc1cc(CCC(=O)O)ccc1OCC1OCCCC(c2ccccc2)S1,0.69,3.237,0.409,0.16115090926274472,,,10.0,5,4.702200000000004,64.99000000000001,402.5120000000001,1,8,11.037666839454555,14.612192016353742,8.449888355692192,13.834748930394406,11.865581297297972,11.865581297297972,0.16115090926274472,0.0015208188,0.00038653996
385,ID386,COc1cc(CCC(=O)[O-])ccc1OCC1[N+]CCCC(c2ccccc2)S1,0.07733456045389175,-0.3333379626274109,COc1cc(CCC(=O)[O-])ccc1OCC1[N+]CCCC(c2ccccc2)S1,0.682,4.117,0.409,0.16621562534352105,,,10.0,5,2.9553000000000003,72.69,399.5120000000001,0,8,11.037666839454555,12.432386391002767,9.538332622213275,13.627609149674747,7.0,11.865581297297972,0.16621562534352105,5.6286644e-05,0.0016153749
386,ID387,COc1cc(CCC(=O)O)ccc1OCC1OCCC(c2ccccc2)S1,0.4000436067581177,0.2797054946422577,COc1cc(CCC(=O)O)ccc1OCC1OCCC(c2ccccc2)S1,0.727,3.281,0.381,0.13846558914096216,,,10.0,5,4.312100000000004,64.99000000000001,388.48500000000007,1,8,11.037666839454555,14.158605880111871,8.449888355692192,12.833946401227717,11.865581297297972,11.865581297297972,0.13846558914096216,0.0015061657,0.0011373805
387,ID388,COc1cc(CCC(=O)O)ccc1OCC1OCC(c2ccccc2)S1,0.37983718514442444,0.22396904230117798,COc1cc(CCC(=O)O)ccc1OCC1OCC(c2ccccc2)S1,0.755,3.272,0.35,0.12205304837081175,,,10.0,5,3.9220000000000024,64.99000000000001,374.458,1,8,11.037666839454555,13.687198899633326,8.449888355692192,11.742019316989987,11.865581297297972,11.865581297297972,0.12205304837081175,0.001357854,0.0007292556
388,ID389,COc1cc(CCC(=O)O)ccc1OCC1SCC(c2ccccc2)S1,0.39628732204437256,0.42009902000427246,COc1cc(CCC(=O)O)ccc1OCC1SCC(c2ccccc2)S1,0.709,3.324,0.35,0.14935376481693347,,,10.0,5,4.638600000000004,55.760000000000005,390.5260000000001,1,8,11.037666839454555,14.539401399356166,7.0,12.984860164272021,11.865581297297972,11.865581297297972,0.14935376481693347,0.0014780137,0.0025657073
389,ID390,COc1cc(CCC(=O)O)ccc1OCC1COC(c2ccccc2)S1,0.351175457239151,0.43318185210227966,COc1cc(CCC(=O)O)ccc1OCC1COC(c2ccccc2)S1,0.755,3.286,0.35,0.12205304837081175,,,10.0,5,3.9220000000000024,64.99000000000001,374.458,1,8,11.037666839454555,13.687198899633326,8.449888355692192,11.742019316989987,11.865581297297972,11.865581297297972,0.12205304837081175,0.0011606638,0.0027279996
390,ID391,COc1cc(CCC(=O)O)ccc1OCC1CCOC(c2ccccc2)S1,0.4054102301597595,0.33352142572402954,COc1cc(CCC(=O)O)ccc1OCC1CCOC(c2ccccc2)S1,0.727,3.302,0.381,0.13846558914096216,,,10.0,5,4.312100000000004,64.99000000000001,388.48500000000007,1,8,11.037666839454555,14.158605880111871,8.449888355692192,12.833946401227717,11.865581297297972,11.865581297297972,0.13846558914096216,0.0015468476,0.0016171535
391,ID392,COc1cc(CCC(=O)O)ccc1OCC1CCCOC(c2ccccc2)S1,0.4057987928390503,0.24829263985157013,COc1cc(CCC(=O)O)ccc1OCC1CCCOC(c2ccccc2)S1,0.69,3.271,0.409,0.16115090926274472,,,10.0,5,4.702200000000004,64.99000000000001,402.5120000000001,1,8,11.037666839454555,14.612192016353742,8.449888355692192,13.834748930394406,11.865581297297972,11.865581297297972,0.16115090926274472,0.0015498141,0.0008962548
392,ID393,COc1cc(CCC(=O)O)ccc1OCC1CSC(c2ccccc2)S1,0.42813119292259216,0.5015427470207214,COc1cc(CCC(=O)O)ccc1OCC1CSC(c2ccccc2)S1,0.709,3.192,0.35,0.14935376481693347,,,10.0,5,4.638600000000004,55.760000000000005,390.52600000000007,1,8,11.037666839454555,14.539401399356166,7.0,12.984860164272016,11.865581297297972,11.865581297297972,0.14935376481693347,0.0017250904,0.0036569557
