,IDs,Canonical_Smiles,axis 1,axis 2,SMILES,QED,Synth,Fsp3,mpIC50_value,std,norma,normal_desviation,HBA,LogP,TPSA,MW,HBD,RB,size_point_HBA,size_point_LogP,size_point_TPSA,size_point_MW,size_point_HBD,size_point_RB,mpIC50
180,ID181,COC1C(CCC(=O)O)CC(=O)N1OCC1NCCCC(c2ccccc2)O1,10.532261848449707,-8.171154022216797,COC1C(CCC(=O)O)CC(=O)N1OCC1NCCCC(c2ccccc2)O1,0.699,4.336,0.6,0.15552282425431863,,,10.0,6,2.0711999999999993,97.33000000000001,392.4520000000002,2,8,12.640043550948826,11.157230289302081,12.476981575641595,13.125550977610914,15.317766166719343,11.865581297297972,0.15552282425431863
181,ID182,COC1C(CCC(=O)O)CC(=O)N1OCC1CNC(c2ccccc2)O1,10.082533836364746,-8.507625579833984,COC1C(CCC(=O)O)CC(=O)N1OCC1CNC(c2ccccc2)O1,0.717,4.284,0.556,0.1444808443321999,,,10.0,6,1.2910000000000006,97.33000000000001,364.398,2,8,12.640043550948826,9.907047962316721,12.476981575641595,10.892815458495416,15.317766166719343,11.865581297297972,0.1444808443321999
182,ID183,COC1C(CCC(=O)O)CC(=O)N1OCC1CCNC(c2ccccc2)O1,8.867440223693848,-8.778409004211426,COC1C(CCC(=O)O)CC(=O)N1OCC1CCNC(c2ccccc2)O1,0.71,4.295,0.579,0.14874165128092473,,,10.0,6,1.6811000000000003,97.33000000000001,378.42500000000007,2,8,12.640043550948826,10.548412558351856,12.476981575641595,12.061036693893456,15.317766166719343,11.865581297297972,0.14874165128092473
183,ID184,COC1C(CCC(=O)O)CC(=O)N1OCC1COC(c2ccccc2)O1,15.1372652053833,-12.26759147644043,COC1C(CCC(=O)O)CC(=O)N1OCC1COC(c2ccccc2)O1,0.749,4.117,0.556,0.12551818230053352,,,10.0,6,1.7179999999999997,94.53000000000002,365.38200000000006,1,8,12.640043550948826,10.607342281987203,12.177073070513819,10.978581160091077,11.865581297297972,11.865581297297972,0.12551818230053352
184,ID185,COC1C(CCC(=O)O)CC(=O)N1OCC1CCOC(c2ccccc2)O1,14.153961181640625,-13.206266403198242,COC1C(CCC(=O)O)CC(=O)N1OCC1CCOC(c2ccccc2)O1,0.739,4.13,0.579,0.13135556160517428,,,10.0,6,2.1080999999999994,94.53000000000002,379.4090000000001,1,8,12.640043550948826,11.213251595098567,12.177073070513819,12.138872239187597,11.865581297297972,11.865581297297972,0.13135556160517428
185,ID186,COC1C(CCC(=O)O)CC(=O)N1OCC1CCCOC(c2ccccc2)O1,15.55686092376709,-12.24548053741455,COC1C(CCC(=O)O)CC(=O)N1OCC1CCCOC(c2ccccc2)O1,0.725,4.058,0.6,0.13966199342900631,,,10.0,6,2.4982000000000006,94.53000000000002,393.43600000000015,1,8,12.640043550948826,11.790031967834265,12.177073070513819,13.196798743206253,11.865581297297972,11.865581297297972,0.13966199342900631
186,ID187,COC1C(CCC(=O)O)CC(=O)N1OCC1CCCSC(c2ccccc2)O1,17.967519760131836,-19.303909301757812,COC1C(CCC(=O)O)CC(=O)N1OCC1CCCSC(c2ccccc2)O1,0.706,4.348,0.6,0.15119529894819628,,,10.0,6,3.214800000000002,85.30000000000001,409.50400000000013,1,8,12.640043550948826,12.782316518250575,11.131753289722646,14.304080991430451,11.865581297297972,11.865581297297972,0.15119529894819628
187,ID188,COC1C(CCC(=O)O)CC(=O)N1OCC1NC(c2ccccc2)CCO1,9.798961639404297,-9.589140892028809,COC1C(CCC(=O)O)CC(=O)N1OCC1NC(c2ccccc2)CCO1,0.71,4.399,0.579,0.14874165128092473,,,10.0,6,1.6810999999999998,97.33000000000001,378.4250000000002,2,8,12.640043550948826,10.548412558351856,12.476981575641595,12.061036693893467,15.317766166719343,11.865581297297972,0.14874165128092473
188,ID189,COC1C(CCC(=O)O)CC(=O)N1OCC1CN(c2ccccc2)CCO1,18.083454132080078,0.41297662258148193,COC1C(CCC(=O)O)CC(=O)N1OCC1CN(c2ccccc2)CCO1,0.733,3.851,0.579,0.13489602535887207,,,10.0,6,1.5092,88.54,378.4250000000001,1,8,12.640043550948826,10.270006354718834,11.50915020893989,12.06103669389346,11.865581297297972,11.865581297297972,0.13489602535887207
189,ID190,COC1C(CCC(=O)O)CC(=O)N1OCC1CC(c2ccccc2)OCO1,14.092316627502441,-13.012524604797363,COC1C(CCC(=O)O)CC(=O)N1OCC1CC(c2ccccc2)OCO1,0.739,4.22,0.579,0.13135556160517428,,,10.0,6,2.1081,94.53000000000002,379.4090000000001,1,8,12.640043550948826,11.213251595098567,12.177073070513819,12.138872239187597,11.865581297297972,11.865581297297972,0.13135556160517428
190,ID191,COC1C(CCC(=O)O)CC(=O)N1OCC1CC(c2ccccc2)SCO1,15.614773750305176,-17.286130905151367,COC1C(CCC(=O)O)CC(=O)N1OCC1CC(c2ccccc2)SCO1,0.724,4.521,0.579,0.1402614338028531,,,10.0,6,2.824700000000001,85.30000000000001,395.4770000000001,1,8,12.640043550948826,12.252338208956328,11.131753289722646,13.343244838432174,11.865581297297972,11.865581297297972,0.1402614338028531
191,ID192,COC1C(CCC(=O)[O-])CC(=O)N1OCC1[N+]CCCC(c2ccccc2)S1,28.05148696899414,-17.10263442993164,COC1C(CCC(=O)[O-])CC(=O)N1OCC1[N+]CCCC(c2ccccc2)S1,0.649,5.286,0.6,0.18775530319963077,,,10.0,6,1.4679000000000002,93.0,406.50400000000013,0,8,12.640043550948826,10.202144116226675,12.009971394239873,14.104952567151518,7.0,11.865581297297972,0.18775530319963077
192,ID193,COC1C(CCC(=O)O)CC(=O)N1OCC1OCCC(c2ccccc2)S1,16.311655044555664,-16.698421478271484,COC1C(CCC(=O)O)CC(=O)N1OCC1OCCC(c2ccccc2)S1,0.724,4.481,0.579,0.1402614338028531,,,10.0,6,2.824700000000001,85.30000000000001,395.47700000000015,1,8,12.640043550948826,12.252338208956328,11.131753289722646,13.34324483843218,11.865581297297972,11.865581297297972,0.1402614338028531
193,ID194,COC1C(CCC(=O)O)CC(=O)N1OCC1SCC(c2ccccc2)S1,19.60327911376953,-17.756746292114258,COC1C(CCC(=O)O)CC(=O)N1OCC1SCC(c2ccccc2)S1,0.722,4.561,0.556,0.14146280243036088,,,10.0,6,3.151200000000002,76.07000000000001,397.5180000000001,1,8,12.640043550948826,12.697492602959473,9.986611069744132,13.487925255167832,11.865581297297972,11.865581297297972,0.14146280243036088
