,molecule_chembl_id,Canonical_Smiles,axis 1,axis 2,Target 1 ID,Target 1 name,Target 2 ID,Target 2 name,Smiles,IC50_Target_1,IC50_Target_2,Activity Index,std,norma,normal_desviation,HBA,LogP,TPSA,MW,HBD,RB
10,CHEMBL1099,CC1(C)OC(=O)NC1=O,0.46128222346305847,-9.25888442993164,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,CC1(C)OC(=O)NC1=O,19976.31,1000000,-11.858906454212908,692981.3969224629,1.0,12.0,3,0.03139999999999993,55.4,129.115,1,0
11,CHEMBL1697853,COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,3.0629584789276123,1.8152140378952026,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC,19976.31,1000000,-11.858906454212908,692981.3969224629,1.0,12.0,5,1.1848,57.230000000000004,281.308,0,4
12,CHEMBL1201392,C[C@@H]1C[C@H]2[C@@H]3CC(F)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,6.374966144561768,6.096828460693359,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,C[C@@H]1C[C@H]2[C@@H]3CC(F)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,19976.31,68460,-10.51815363127286,34283.145975946405,0.0492038876388728,9.147611662916619,5,2.1929000000000003,94.83,410.45700000000016,3,2
13,CHEMBL1536675,O=C1c2ccccc2CN2C(=O)c3ccccc3CN12,-4.282696723937988,-5.167464733123779,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,O=C1c2ccccc2CN2C(=O)c3ccccc3CN12,19976.31,1000000,-11.858906454212908,692981.3969224629,1.0,12.0,2,2.2134,40.620000000000005,264.28399999999993,0,0
14,CHEMBL44793,O=C(C=Cc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1,-4.505049705505371,3.556821823120117,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,O=C(C=Cc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1,19976.31,1000000,-11.858906454212908,692981.3969224629,1.0,12.0,2,4.824800000000002,82.19,375.21100000000007,3,4
15,CHEMBL1487804,O=C(Nc1ccc(C(=O)O)c(O)c1)c1ccccc1,-0.5750426054000854,-1.2270755767822266,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,O=C(Nc1ccc(C(=O)O)c(O)c1)c1ccccc1,19976.31,1000000,-11.858906454212908,692981.3969224629,1.0,12.0,3,2.3427,86.63000000000001,257.245,3,3
16,CHEMBL100,CC1(C)Oc2ccc(C#N)cc2[C@@H](N2CCCC2=O)[C@@H]1O,2.395528554916382,-0.544061005115509,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,CC1(C)Oc2ccc(C#N)cc2[C@@H](N2CCCC2=O)[C@@H]1O,19976.31,353300,-11.338687591904389,235695.4415291226,0.3399318914228686,10.019795674268606,4,1.7536799999999997,73.56,286.33099999999996,1,1
17,CHEMBL1087630,CCCOc1ccc2[nH]c(=NC(=O)OC)[nH]c2c1,0.2525603175163269,-2.2542965412139893,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,CCCOc1ccc2[nH]c(=NC(=O)OC)[nH]c2c1,19976.31,1000000,-11.858906454212908,692981.3969224629,1.0,12.0,3,1.9519,79.47,249.26999999999998,2,3
18,CHEMBL297362,Cc1cccc(C)c1N=C1NCCCS1,-5.553685188293457,-5.795335292816162,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,Cc1cccc(C)c1N=C1NCCCS1,19976.31,1000000,-11.858906454212908,692981.3969224629,1.0,12.0,2,3.0174400000000015,24.39,220.34099999999998,1,1
19,CHEMBL472566,N=c1[nH]c2cc(Cl)ccc2o1,-1.5868619680404663,-6.686042308807373,CHEMBL4303835,SARS-CoV-2,CHEMBL6020,Bile salt export pump,N=c1[nH]c2cc(Cl)ccc2o1,19976.31,1000000,-11.858906454212908,692981.3969224629,1.0,12.0,2,1.89377,52.78,168.583,2,0
